0: { [0.412645, 0.862645], [0.478772, 0.928772], [0.553414, 1.00341], [0.781809, 1.23181], [0.640461, 1.09046], [0.531314, 0.981314], [0.224518, 0.674518], [-0.233964, 0.216036], }
1: { [-0.260025, 0.189987], [-0.212017, 0.238195], [-0.0117205, 0.438332], [0.21584, 0.666482], [0.304211, 0.754236], [0.186176, 0.636255], [-0.05798, 0.392048], [-0.516995, -0.0665967], }
2: { [-0.265608, 0.185399], [0.700131, 1.29648], [0.554294, 1.00484], [-0.0166231, 0.665077], [0.350858, 0.803548], [-0.0805253, 0.580857], [0.177391, 0.630072], [-0.535706, 0.0131982], }
3: { [0.370436, 0.826335], [0.339359, 1.265], [0.554027, 1.00518], [-0.509491, 0.440416], [0.674008, 1.13023], [-0.109184, 0.909029], [0.169677, 0.628464], [-0.165693, 0.867706], }
4: { [-0.265672, 0.185401], [0.700356, 1.30101], [0.553945, 1.00599], [0.21885, 0.943274], [0.352544, 0.805054], [0.106827, 0.889506], [0.178583, 0.631637], [0.880677, 1.58871], }
5: { [-0.265785, 0.184992], [-0.227584, 0.534914], [0.0236073, 0.476391], [-1, -0.312316], [0.353597, 0.806765], [-0.384471, 0.2059], [-0.0879221, 0.363656], [-0.423203, 0.346868], }
6: { [-0.266823, 0.186381], [-0.173521, 0.656945], [0.0245487, 0.481757], [0.471566, 1.10872], [0.353821, 0.811854], [-0.383267, 0.654418], [-0.0914035, 0.363602], [0.158141, 1.35815], }
7: { [0.376376, 0.82851], [-0.112503, 0.594628], [0.0231908, 0.475411], [0.720468, 1.3888], [0.67239, 1.12436], [-0.383169, 0.101315], [-0.0875419, 0.364868], [-0.184148, 0.392009], }
8: { [0.373727, 0.826448], [0.751375, 1.30144], [0.55394, 1.00556], [1.22132, 1.74928], [0.674648, 1.12641], [-0.0453345, 0.735792], [0.176165, 0.629229], [0.605213, 1.49011], }
9: { [0.374959, 0.827163], [-0.274727, 0.359096], [0.0218017, 0.474443], [-0.547648, -0.0505994], [0.673789, 1.12503], [-0.359305, 0.403495], [-0.0875461, 0.366148], [0.384003, 1.20824], }
